Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,,144.725,,0,,88.5,88.5,23,NN,FM,5,,,,,,
1,2M CALL,146.52,,0,,88.5,88.5,23,NN,FM,5,,,,,,
2,70CM CA,446,,0,,88.5,88.5,23,NN,FM,5,,,,,,
3,WX1PA7,162.55,,0,,88.5,88.5,23,NN,FM,5,,,,,,
4,WX2PA1,162.4,,0,,88.5,88.5,23,NN,FM,5,,,,,,
5,WX3PA4,162.475,,0,,88.5,88.5,23,NN,FM,5,,,,,,
6,WX4PA2,162.425,,0,,88.5,88.5,23,NN,FM,5,,,,,,
7,WX5PA3,162.45,,0,,88.5,88.5,23,NN,FM,5,,,,,,
8,WX6PA5,162.5,,0,,88.5,88.5,23,NN,FM,5,,,,,,
9,WX7PA6,162.525,,0,,88.5,88.5,23,NN,FM,5,,,,,,
10,WX8,161.65,,0,,88.5,88.5,23,NN,FM,5,,,,,,
11,WX9,161.775,,0,,88.5,88.5,23,NN,FM,5,,,,,,
12,WX10,163.275,,0,,88.5,88.5,23,NN,FM,5,,,,,,
13,GMRS 1,462.5625,,0,,88.5,88.5,23,NN,FM,5,,,,,,
14,GMRS 2,462.5875,,0,,88.5,88.5,23,NN,FM,5,,,,,,
15,GMRS 3,462.6125,,0,,88.5,88.5,23,NN,FM,5,,,,,,
16,GMRS 4,462.6375,,0,,88.5,88.5,23,NN,FM,5,,,,,,
17,GMRS 5,462.6625,,0,,88.5,88.5,23,NN,FM,5,,,,,,
18,GMRS 6,462.6875,,0,,88.5,88.5,23,NN,FM,5,,,,,,
19,GMRS 7,462.7125,,0,,88.5,88.5,23,NN,FM,5,,,,,,
20,GMRS 8,467.5625,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
21,GMRS 9,467.5875,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
22,GMRS 10,467.6125,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
23,GMRS 11,467.6375,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
24,GMRS 12,467.6625,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
25,GMRS 13,467.6875,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
26,GMRS 14,467.7125,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
27,GMRS 15,462.55,,0,,88.5,88.5,23,NN,FM,5,,,,,,
28,GMRS 16,462.575,,0,,88.5,88.5,23,NN,FM,5,,,,,,
29,GMRS 17,462.6,,0,,88.5,88.5,23,NN,FM,5,,,,,,
30,GMRS 18,462.625,,0,,88.5,88.5,23,NN,FM,5,,,,,,
31,GMRS 19,462.65,,0,,88.5,88.5,23,NN,FM,5,,,,,,
32,GMRS 20,462.675,,0,,88.5,88.5,23,NN,FM,5,,,,,,
33,GMRS 21,462.7,,0,,88.5,88.5,23,NN,FM,5,,,,,,
34,GMRS 22,462.725,,0,,88.5,88.5,23,NN,FM,5,,,,,,
35,GMRS 55,462.55,+,5,,88.5,88.5,23,NN,FM,5,,,,,,
36,GMRS 57,462.575,+,5,,88.5,88.5,23,NN,FM,5,,,,,,
37,GMRS 60,462.6,+,5,,88.5,88.5,23,NN,FM,5,,,,,,
38,GMRS 62,462.625,+,5,,88.5,88.5,23,NN,FM,5,,,,,,
39,GMRS 65,462.65,+,5,,88.5,88.5,23,NN,FM,5,,,,,,
40,GMRS 67,462.675,+,5,,88.5,88.5,23,NN,FM,5,,,,,,
41,GMRS 70,462.7,+,5,,88.5,88.5,23,NN,FM,5,,,,,,
42,GMRS 72,462.725,+,5,,88.5,88.5,23,NN,FM,5,,,,,,
43,FRS 1,462.5625,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
44,FRS 2,462.5875,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
45,FRS 3,462.6125,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
46,FRS 4,462.6375,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
47,FRS 5,462.6625,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
48,FRS 6,462.6875,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
49,FRS 7,462.7125,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
50,FRS 8,467.5625,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
51,FRS 9,467.5875,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
52,FRS 10,467.6125,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
53,FRS 11,467.6375,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
54,FRS 12,467.6625,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
55,FRS 13,467.6875,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
56,FRS 14,467.7125,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
57,FRS 15,462.55,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
58,FRS 16,462.575,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
59,FRS 17,462.6,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
60,FRS 18,462.625,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
61,FRS 19,462.65,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
62,FRS 20,462.675,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
63,FRS 21,462.7,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
64,FRS 22,462.725,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
65,MURS 1,151.82,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
66,MURS 2,151.88,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
67,MURS 3,151.94,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
68,BLUE DO,154.57,,0,,88.5,88.5,23,NN,FM,5,,,,,,
69,GREEN D,154.6,,0,,88.5,88.5,23,NN,FM,5,,,,,,
127,,435.725,,0,,88.5,88.5,23,NN,FM,5,,,,,,
